stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
479,479,5702 LAMAR/KOENIG,Northwest corner of LAMAR and KOENIG - Nearside,30.326148,-97.726345,,http://www.capmetro.org/gismaps/stops/479.html,,,,0
480,480,5528 LAMAR/KOENIG,Southwest corner of LAMAR and KOENIG - Mid-Block,30.324249,-97.72753,,http://www.capmetro.org/gismaps/stops/480.html,,,,0
482,482,5300 LAMAR/NORTH LOOP,Northwest corner of LAMAR and NORTH LOOP - Nearside,30.321303,-97.729391,,http://www.capmetro.org/gismaps/stops/482.html,,,,0
483,483,5106 LAMAR/51ST,Northwest corner of LAMAR and 51ST - Nearside,30.31905,-97.730806,,http://www.capmetro.org/gismaps/stops/483.html,,,,0
484,484,TRIANGLE STATION (SB),Southwest corner of GUADALUPE and LAMAR - Mid-Block,30.314729,-97.732523,,http://www.capmetro.org/gismaps/stops/484.html,,,,0
485,485,4500 GUADALUPE/45TH,Northwest corner of GUADALUPE and 45TH - Nearside,30.311163,-97.732958,,http://www.capmetro.org/gismaps/stops/485.html,,,,0
486,486,GUADALUPE/43RD STREET,Northwest corner of GUADALUPE and 43RD - Nearside,30.308831,-97.734395,,http://www.capmetro.org/gismaps/stops/486.html,,,,1
487,487,GUADALUPE/41ST STREET,Northwest corner of GUADALUPE and 41ST - Nearside,30.306703,-97.735756,,http://www.capmetro.org/gismaps/stops/487.html,,,,1
489,489,GUADALUPE/MAIDEN,Northwest corner of GUADALUPE and MAIDEN - Nearside,30.301674,-97.73896,,http://www.capmetro.org/gismaps/stops/489.html,,,,0
490,490,GUADALUPE/34TH STREET,Northwest corner of GUADALUPE and 34TH - Nearside,30.300456,-97.739709,,http://www.capmetro.org/gismaps/stops/490.html,,,,0
492,492,GUADALUPE/30TH STREET,Northwest corner of GUADALUPE and 30TH - Nearside,30.296804,-97.742028,,http://www.capmetro.org/gismaps/stops/492.html,,,,0
494,494,GUADALUPE/27TH STREET,Northwest corner of GUADALUPE and 27TH - Nearside,30.292197,-97.74131,,http://www.capmetro.org/gismaps/stops/494.html,,,,0
495,495,GUADALUPE/26TH STREET,Northwest corner of GUADALUPE and 26TH - Nearside,30.290673,-97.741408,,http://www.capmetro.org/gismaps/stops/495.html,,,,0
497,497,UT WEST MALL STATION (SB),Southwest corner of GUADALUPE and 23RD - Mid-Block,30.286064,-97.741815,,http://www.capmetro.org/gismaps/stops/497.html,,,,0
498,498,GUADALUPE/W. 21ST STREET,Southwest corner of GUADALUPE and 21ST - Mid-Block,30.283384,-97.742081,,http://www.capmetro.org/gismaps/stops/498.html,,,,0
501,501,GUADALUPE/16TH STREET,Northwest corner of GUADALUPE and 16TH - Nearside,30.278962,-97.742708,,http://www.capmetro.org/gismaps/stops/501.html,,,,0
504,504,11TH/GUADALUPE,Southeast corner of 11TH and GUADALUPE - Farside,30.27353,-97.744198,,http://www.capmetro.org/gismaps/stops/504.html,,,,0
506,506,11TH/CONGRESS,Southwest corner of 11TH and CONGRESS - Nearside,30.2727,-97.741376,,http://www.capmetro.org/gismaps/stops/506.html,,,,0
507,507,NW CORNER CONGRESS/10TH,Northwest corner of CONGRESS and 10TH - Nearside,30.271905,-97.741543,,http://www.capmetro.org/gismaps/stops/507.html,,,,0
508,508,900 CONGRESS/9TH,Northwest corner of CONGRESS and 9TH - Nearside,30.270994,-97.741882,,http://www.capmetro.org/gismaps/stops/508.html,,,,0
511,511,600 CONGRESS/6TH,Northwest corner of CONGRESS and 6TH - Nearside,30.268192,-97.742953,,http://www.capmetro.org/gismaps/stops/511.html,,,,0
512,512,500 CONGRESS/5TH,Northwest corner of CONGRESS and 5TH - Nearside,30.267263,-97.743268,,http://www.capmetro.org/gismaps/stops/512.html,,,,0
513,513,CONGRESS/4TH STREET,Northwest corner of CONGRESS and 4TH - Nearside,30.266337,-97.743609,,http://www.capmetro.org/gismaps/stops/513.html,,,,0
514,514,CONGRESS/ 3RD STREET,Northwest corner of CONGRESS and 3RD - Nearside,30.265404,-97.74396,,http://www.capmetro.org/gismaps/stops/514.html,,,,0
515,515,CONGRESS/CESAR CHAVEZ,Northwest corner of CONGRESS and CESAR CHAVEZ - Nearside,30.263554,-97.744623,,http://www.capmetro.org/gismaps/stops/515.html,,,,0
516,516,300 SOUTH CONGRESS/BARTON SPRINGS,Southwest corner of CONGRESS and BARTON SPRINGS - Farside,30.2587,-97.746459,,http://www.capmetro.org/gismaps/stops/516.html,,,,0
517,517,612 CONGRESS/RIVERSIDE,Southwest corner of CONGRESS and RIVERSIDE - Mid-Block,30.255385,-97.747685,,http://www.capmetro.org/gismaps/stops/517.html,,,,1
522,522,2020 CONGRESS/CROCKETT,Northwest corner of CONGRESS and CROCKETT - Nearside,30.243058,-97.752263,,http://www.capmetro.org/gismaps/stops/522.html,,,,0
524,524,2300 CONGRESS/COLLEGE,Southwest corner of CONGRESS and COLLEGE - Farside,30.240333,-97.752905,,http://www.capmetro.org/gismaps/stops/524.html,,,,1
526,526,2622 CONGRESS/CUMBERLAND,Northwest corner of CONGRESS and CUMBERLAND - Nearside,30.235695,-97.756374,,http://www.capmetro.org/gismaps/stops/526.html,,,,0
527,527,2918 CONGRESS/LA VISTA,Northwest corner of CONGRESS and LA VISTA - Nearside,30.23259,-97.75853,,http://www.capmetro.org/gismaps/stops/527.html,,,,0
528,528,3216 CONGRESS/FREDERICK,Northwest corner of CONGRESS and FREDERICK - Nearside,30.23045,-97.75987,,http://www.capmetro.org/gismaps/stops/528.html,,,,0
529,529,CONGRESS/PICKLE,Southwest corner of CONGRESS and PICKLE - Farside,30.226936,-97.76191,,http://www.capmetro.org/gismaps/stops/529.html,,,,0
531,531,4210 CONGRESS/RADAM,Southwest corner of CONGRESS and RADAM - Mid-Block,30.220762,-97.765412,,http://www.capmetro.org/gismaps/stops/531.html,,,,1
532,532,4354 CONGRESS/ST ELMO,Northwest corner of CONGRESS and ST ELMO - Nearside,30.218437,-97.766885,,http://www.capmetro.org/gismaps/stops/532.html,,,,1
543,543,4722 CONGRESS/SHERATON,Southwest corner of CONGRESS and SHERATON - Mid-Block,30.214748,-97.769232,,http://www.capmetro.org/gismaps/stops/543.html,,,,1
545,545,5300 CONGRESS/RAMBLE,Southwest corner of CONGRESS and RAMBLE - Farside,30.208685,-97.773108,,http://www.capmetro.org/gismaps/stops/545.html,,,,0
546,546,5606 CONGRESS/SANDRA,Northwest corner of CONGRESS and SANDRA - Nearside,30.204263,-97.775141,,http://www.capmetro.org/gismaps/stops/546.html,,,,1
548,548,6220 CONGRESS/NORTH BLUFF,Northwest corner of CONGRESS and NORTH BLUFF - Nearside,30.199041,-97.776595,,http://www.capmetro.org/gismaps/stops/548.html,,,,0
550,550,115 WILLIAM CANNON/CIRCLE S,Southwest corner of WILLIAM CANNON and CIRCLE S - Nearside,30.192663,-97.777841,,http://www.capmetro.org/gismaps/stops/550.html,,,,0
551,551,409 WILLIAM CANNON/CIRCLE S,Southeast corner of WILLIAM CANNON and CIRCLE S - Mid-Block,30.192082,-97.776037,,http://www.capmetro.org/gismaps/stops/551.html,,,,1
552,552,601 WILLIAM CANNON/CIRCLE S,Southeast corner of WILLIAM CANNON and CIRCLE S - Mid-Block,30.191387,-97.77353,,http://www.capmetro.org/gismaps/stops/552.html,,,,0
553,553,NELMS/BLUFF SPRINGS,Southwest corner of NELMS and BLUFF SPRINGS - Nearside,30.192739,-97.765329,,http://www.capmetro.org/gismaps/stops/553.html,,,,0
554,554,BLUFF SPRINGS/WILLIAM CANNON,Northwest corner of BLUFF SPRINGS and WILLIAM CANNON - Nearside,30.189427,-97.767879,,http://www.capmetro.org/gismaps/stops/554.html,,,,0
555,555,412 WILLIAM CANNON/NORTH BLUFF,Northwest corner of WILLIAM CANNON and NORTH BLUFF - Mid-Block,30.191773,-97.774139,,http://www.capmetro.org/gismaps/stops/555.html,,,,0
556,556,110 WILLIAM CANNON/CIRCLE S,Northwest corner of WILLIAM CANNON and CIRCLE S - Farside,30.192971,-97.777955,,http://www.capmetro.org/gismaps/stops/556.html,,,,0
558,558,6319 CONGRESS/CIRCLE S,Northeast corner of CONGRESS and CIRCLE S - Mid-Block,30.197392,-97.776908,,http://www.capmetro.org/gismaps/stops/558.html,,,,0
559,559,LITTLE TEXAS STATION (NB),Southeast corner of CONGRESS and LITTLE TEXAS - Nearside,30.202125,-97.775516,,http://www.capmetro.org/gismaps/stops/559.html,,,,0
560,560,5405 CONGRESS/MOCKINGBIRD,Southeast corner of CONGRESS and MOCKINGBIRD - Nearside,30.207107,-97.773733,,http://www.capmetro.org/gismaps/stops/560.html,,,,1
565,565,4401 CONGRESS/ST ELMO,Southeast corner of CONGRESS and ST ELMO - Nearside,30.217378,-97.767251,,http://www.capmetro.org/gismaps/stops/565.html,,,,1
568,568,CONGRESS/ALPINE,Northeast corner of CONGRESS and ALPINE - Farside,30.228248,-97.760943,,http://www.capmetro.org/gismaps/stops/568.html,,,,0
569,569,3307 CONGRESS/WOODWARD,Northeast corner of CONGRESS and WOODWARD - Farside,30.230055,-97.759837,,http://www.capmetro.org/gismaps/stops/569.html,,,,1
571,571,2705 CONGRESS/CUMBERLAND,Southeast corner of CONGRESS and CUMBERLAND - Nearside,30.235347,-97.75633,,http://www.capmetro.org/gismaps/stops/571.html,,,,0
573,573,2203 CONGRESS/LIVE OAK,Southeast corner of CONGRESS and LIVE OAK - Nearside,30.241689,-97.752423,,http://www.capmetro.org/gismaps/stops/573.html,,,,0
574,574,1901 CONGRESS/MARY,Southeast corner of CONGRESS and MARY - Nearside,30.245024,-97.751212,,http://www.capmetro.org/gismaps/stops/574.html,,,,1
576,576,CONGRESS/THE CIRCLE,Northeast corner of CONGRESS and THE CIRCLE - Mid-Block,30.251531,-97.748789,,http://www.capmetro.org/gismaps/stops/576.html,,,,0
577,577,611 CONGRESS/ACADEMY,Northeast corner of CONGRESS and ACADEMY - Mid-Block,30.25534,-97.74739,,http://www.capmetro.org/gismaps/stops/577.html,,,,0
578,578,101 CONGRESS/2ND,Southeast corner of CONGRESS and 2ND - Nearside,30.264174,-97.744098,,http://www.capmetro.org/gismaps/stops/578.html,,,,0
579,579,CONGRESS/3RD,Southeast corner of CONGRESS and 3RD - Nearside,30.265113,-97.743741,,http://www.capmetro.org/gismaps/stops/579.html,,,,0
580,580,CONGRESS/4TH,Southeast corner of CONGRESS and 4TH - Nearside,30.266052,-97.74339,,http://www.capmetro.org/gismaps/stops/580.html,,,,0
581,581,425 CONGRESS/5TH,Southeast corner of CONGRESS and 5TH - Nearside,30.266975,-97.743044,,http://www.capmetro.org/gismaps/stops/581.html,,,,0
584,584,CONGRESS/8TH,Southeast corner of CONGRESS and 8TH - Nearside,30.26978,-97.742005,,http://www.capmetro.org/gismaps/stops/584.html,,,,0
585,585,823 CONGRESS/9TH,Southeast corner of CONGRESS and 9TH - Nearside,30.270713,-97.741662,,http://www.capmetro.org/gismaps/stops/585.html,,,,0
590,590,LAVACA/12TH,Southeast corner of LAVACA and 12TH - Nearside,30.274408,-97.742995,,http://www.capmetro.org/gismaps/stops/590.html,,,,0
591,591,CAPITOL STATION (NB),Southeast corner of LAVACA and 13TH - Nearside,30.275587,-97.742558,,http://www.capmetro.org/gismaps/stops/591.html,,,,0
593,593,LAVACA/15TH,Southeast corner of LAVACA and 15TH - Nearside,30.277383,-97.741894,,http://www.capmetro.org/gismaps/stops/593.html,,,,1
596,596,GUADALUPE/20TH,Southeast corner of GUADALUPE and 20TH - Nearside,30.282583,-97.741932,,http://www.capmetro.org/gismaps/stops/596.html,,,,0
598,598,GUADALUPE/24TH,Southeast corner of GUADALUPE and 24TH - Nearside,30.287499,-97.741456,,http://www.capmetro.org/gismaps/stops/598.html,,,,0
599,599,GUADALUPE/DEAN KEETON,Southeast corner of GUADALUPE and DEAN KEETON - Nearside,30.289566,-97.741303,,http://www.capmetro.org/gismaps/stops/599.html,,,,0
602,602,GUADALUPE/30TH,Southeast corner of GUADALUPE and 30TH - Nearside,30.29639,-97.74203,,http://www.capmetro.org/gismaps/stops/602.html,,,,1
603,603,3101 GUADALUPE/31ST,Southeast corner of GUADALUPE and 31ST - Nearside,30.297781,-97.741153,,http://www.capmetro.org/gismaps/stops/603.html,,,,1
604,604,GUADALUPE/34TH,Southeast corner of GUADALUPE and 34TH - Nearside,30.300181,-97.739637,,http://www.capmetro.org/gismaps/stops/604.html,,,,0
605,605,GUADALUPE/38TH,Southeast corner of GUADALUPE and 38TH - Nearside,30.302526,-97.738152,,http://www.capmetro.org/gismaps/stops/605.html,,,,0
606,606,HYDE PARK STATION (NB),Northeast corner of GUADALUPE and 39TH - Farside,30.304429,-97.736954,,http://www.capmetro.org/gismaps/stops/606.html,,,,0
607,607,GUADALUPE/41ST,Southeast corner of GUADALUPE and 41ST - Nearside,30.306234,-97.735787,,http://www.capmetro.org/gismaps/stops/607.html,,,,0
608,608,GUADALUPE/43RD,Southeast corner of GUADALUPE and 43RD - Nearside,30.3085,-97.73434,,http://www.capmetro.org/gismaps/stops/608.html,,,,0
609,609,4413 GUADALUPE/45TH,Southeast corner of GUADALUPE and 45TH - Nearside,30.31073,-97.73293,,http://www.capmetro.org/gismaps/stops/609.html,,,,0
610,610,TRIANGLE STATION (NB),Northeast corner of GUADALUPE and 46TH - Mid-Block,30.314907,-97.732257,,http://www.capmetro.org/gismaps/stops/610.html,,,,0
611,611,5007 LAMAR/51ST,Southeast corner of LAMAR and 51ST - Nearside,30.318411,-97.730947,,http://www.capmetro.org/gismaps/stops/611.html,,,,0
612,612,5301 LAMAR/NORTH LOOP,Northeast corner of LAMAR and NORTH LOOP - Farside,30.321319,-97.729097,,http://www.capmetro.org/gismaps/stops/612.html,,,,0
613,613,5419 LAMAR/NELRAY,Southeast corner of LAMAR and NELRAY - Nearside,30.32278,-97.72819,,http://www.capmetro.org/gismaps/stops/613.html,,,,0
614,614,5555 LAMAR/NELRAY,Northeast corner of LAMAR and NELRAY - Mid-Block,30.324086,-97.727368,,http://www.capmetro.org/gismaps/stops/614.html,,,,0
615,615,5827 LAMAR/KOENIG,Southeast corner of LAMAR and KOENIG - Nearside,30.325644,-97.726371,,http://www.capmetro.org/gismaps/stops/615.html,,,,0
617,617,6201 LAMAR/DENSON,Southeast corner of LAMAR and DENSON - Nearside,30.330181,-97.723533,,http://www.capmetro.org/gismaps/stops/617.html,,,,1
618,618,6541 LAMAR/BRENTWOOD,Southeast corner of LAMAR and BRENTWOOD - Nearside,30.33387,-97.72121,,http://www.capmetro.org/gismaps/stops/618.html,,,,0
619,619,6901 LAMAR/JUSTIN,Southeast corner of LAMAR and JUSTIN - Nearside,30.336541,-97.719511,,http://www.capmetro.org/gismaps/stops/619.html,,,,0
620,620,7200 LAMAR/ST JOHNS,Northwest corner of LAMAR and ST JOHNS - Nearside,30.339577,-97.717914,,http://www.capmetro.org/gismaps/stops/620.html,,,,0
622,622,7545 LAMAR/MORROW,Southeast corner of LAMAR and MORROW - Nearside,30.34385,-97.71492,,http://www.capmetro.org/gismaps/stops/622.html,,,,0
623,623,8071 LAMAR/RESEARCH,Northeast corner of LAMAR and RESEARCH - Mid-Block,30.348283,-97.711558,,http://www.capmetro.org/gismaps/stops/623.html,,,,0
624,624,8415 LAMAR/THURMOND,Southeast corner of LAMAR and THURMOND - Nearside,30.353121,-97.70573,,http://www.capmetro.org/gismaps/stops/624.html,,,,0
626,626,8631 LAMAR/ELLIOTT,Southeast corner of LAMAR and ELLIOTT - Nearside,30.355174,-97.702927,,http://www.capmetro.org/gismaps/stops/626.html,,,,0
627,627,8745 LAMAR/DEEN,Southeast corner of LAMAR and DEEN - Nearside,30.356405,-97.70124,,http://www.capmetro.org/gismaps/stops/627.html,,,,0
628,628,8911 LAMAR/CARPENTER,Southeast corner of LAMAR and CARPENTER - Nearside,30.358138,-97.699627,,http://www.capmetro.org/gismaps/stops/628.html,,,,0
631,631,LOTT/CHICO,Northwest corner of LOTT and CHICO - Nearside,30.26882,-97.68306,,http://www.capmetro.org/gismaps/stops/631.html,,,,0
632,632,3810 OAK SPRINGS/SPRINGDALE,Northwest corner of OAK SPRINGS and SPRINGDALE - Farside,30.273662,-97.69085,,http://www.capmetro.org/gismaps/stops/632.html,,,,0
633,633,3700 OAK SPRINGS/SPRINGDALE,Northwest corner of OAK SPRINGS and SPRINGDALE - Mid-Block,30.273773,-97.692771,,http://www.capmetro.org/gismaps/stops/633.html,,,,0
634,634,3200 OAK SPRINGS/AIRPORT,Northwest corner of OAK SPRINGS and AIRPORT - Farside,30.27361,-97.69835,,http://www.capmetro.org/gismaps/stops/634.html,,,,0
635,635,OAK SPRINGS/RIDGEWAY,Northeast corner of OAK SPRINGS and RIDGEWAY - Nearside,30.272556,-97.704568,,http://www.capmetro.org/gismaps/stops/635.html,,,,0
636,636,2600 ROSEWOOD/RIDGEWAY,Northwest corner of ROSEWOOD and RIDGEWAY - Mid-Block,30.272509,-97.706241,,http://www.capmetro.org/gismaps/stops/636.html,,,,0
637,637,2420 ROSEWOOD/BEDFORD,Northwest corner of ROSEWOOD and BEDFORD - Farside,30.272319,-97.708296,,http://www.capmetro.org/gismaps/stops/637.html,,,,0
638,638,2370 ROSEWOOD/HARGRAVE,Northwest corner of ROSEWOOD and HARGRAVE - Mid-Block,30.271236,-97.710649,,http://www.capmetro.org/gismaps/stops/638.html,,,,0
642,642,ROSEWOOD/SAN BERNARD,Northeast corner of ROSEWOOD and SAN BERNARD - Nearside,30.268756,-97.725507,,http://www.capmetro.org/gismaps/stops/642.html,,,,1
645,645,E. 11TH/SABINE,Northeast corner of 11TH and SABINE - Nearside,30.270893,-97.734212,,http://www.capmetro.org/gismaps/stops/645.html,,,,0
650,650,COLORADO/9TH,Northwest corner of COLORADO and 9TH - Nearside,30.271366,-97.743155,,http://www.capmetro.org/gismaps/stops/650.html,,,,0
652,652,BRAZOS/6TH,Southeast corner of BRAZOS and 6TH - Nearside,30.267481,-97.741464,,http://www.capmetro.org/gismaps/stops/652.html,,,,0
657,657,907 11TH/BRANCH,Southeast corner of 11TH and BRANCH - Farside,30.26986,-97.731241,,http://www.capmetro.org/gismaps/stops/657.html,,,,0
658,658,11TH/WALLER,Southwest corner of 11TH and WALLER - Nearside,30.269272,-97.729677,,http://www.capmetro.org/gismaps/stops/658.html,,,,0
659,659,1201 11TH/LYDIA,Southeast corner of 11TH and LYDIA - Farside,30.268613,-97.72782,,http://www.capmetro.org/gismaps/stops/659.html,,,,0
660,660,1213 ROSEWOOD/SAN BERNARD,Southwest corner of ROSEWOOD and SAN BERNARD - Mid-Block,30.26853,-97.726049,,http://www.capmetro.org/gismaps/stops/660.html,,,,0
661,661,1319 ROSEWOOD/ANGELINA,Southwest corner of ROSEWOOD and ANGELINA - Nearside,30.26878,-97.72446,,http://www.capmetro.org/gismaps/stops/661.html,,,,0
663,663,1909 ROSEWOOD/CHICON,Southeast corner of ROSEWOOD and CHICON - Farside,30.269696,-97.718601,,http://www.capmetro.org/gismaps/stops/663.html,,,,1
664,664,ROSEWOOD/NORTHWESTERN,Southwest corner of ROSEWOOD and NORTHWESTERN - Nearside,30.27,-97.71674,,http://www.capmetro.org/gismaps/stops/664.html,,,,1
665,665,2365 ROSEWOOD/HARGRAVE,Southwest corner of ROSEWOOD and HARGRAVE - Nearside,30.270988,-97.71088,,http://www.capmetro.org/gismaps/stops/665.html,,,,0
666,666,ROSEWOOD/WEBBERVILLE,Southwest corner of ROSEWOOD and WEBBERVILLE - Nearside,30.272357,-97.705144,,http://www.capmetro.org/gismaps/stops/666.html,,,,0
667,667,2807 OAK SPRINGS/WEBBERVILLE,Southeast corner of OAK SPRINGS and WEBBERVILLE - Mid-Block,30.272787,-97.702321,,http://www.capmetro.org/gismaps/stops/667.html,,,,0
668,668,3201 OAK SPRINGS/AIRPORT,Southwest corner of OAK SPRINGS and AIRPORT - Nearside,30.273434,-97.698427,,http://www.capmetro.org/gismaps/stops/668.html,,,,0
669,669,OAK SPRINGS/SPRINGDALE,Southeast corner of OAK SPRINGS and SPRINGDALE - Mid-Block,30.273525,-97.691318,,http://www.capmetro.org/gismaps/stops/669.html,,,,0
670,670,LEDESMA/SPRINGDALE,Southeast corner of LEDESMA and SPRINGDALE - Farside,30.273803,-97.689827,,http://www.capmetro.org/gismaps/stops/670.html,,,,1
671,671,4903 LEDESMA/MENDOZA,Southeast corner of LEDESMA and MENDOZA - Farside,30.2727,-97.68749,,http://www.capmetro.org/gismaps/stops/671.html,,,,0
672,672,LEDESMA/RICHARDINE,Southwest corner of LEDESMA and RICHARDINE - Nearside,30.271907,-97.685679,,http://www.capmetro.org/gismaps/stops/672.html,,,,1
673,673,LEDESMA/CESSAL,Southwest corner of LEDESMA and CESSAL - Nearside,30.271221,-97.684066,,http://www.capmetro.org/gismaps/stops/673.html,,,,1
674,674,NORTHCROSS TRANSFER CENTER,Southwest corner of NORTHCROSS and FOSTER - Mid-Block,30.35361,-97.73592,,http://www.capmetro.org/gismaps/stops/674.html,,,,0
675,675,7500 BURNET/RICHCREEK,Northwest corner of BURNET and RICHCREEK - Nearside,30.35066,-97.734362,,http://www.capmetro.org/gismaps/stops/675.html,,,,0
678,678,BURNET/TWIN OAKS DR.,Northwest corner of BURNET and TWIN OAKS - Nearside,30.342693,-97.738671,,http://www.capmetro.org/gismaps/stops/678.html,,,,1
683,683,BURNET/LAWNMONT,Northwest corner of BURNET and LAWNMONT - Nearside,30.328167,-97.739865,,http://www.capmetro.org/gismaps/stops/683.html,,,,0
684,684,NORTH LOOP STATION (SB),Southwest corner of BURNET and NORTH LOOP - Farside,30.324956,-97.739679,,http://www.capmetro.org/gismaps/stops/684.html,,,,0
685,685,BURNET/HANCOCK,Northwest corner of BURNET and HANCOCK - Nearside,30.322213,-97.739436,,http://www.capmetro.org/gismaps/stops/685.html,,,,0
686,686,BURNET/W. 49TH,Northwest corner of BURNET and 49TH - Nearside,30.320333,-97.739313,,http://www.capmetro.org/gismaps/stops/686.html,,,,0
687,687,BURNET/W. 47TH,Northwest corner of BURNET and 47TH - Nearside,30.318126,-97.739952,,http://www.capmetro.org/gismaps/stops/687.html,,,,0
688,688,BURNET/W. 45TH,Northwest corner of BURNET and 45TH - Nearside,30.315528,-97.741621,,http://www.capmetro.org/gismaps/stops/688.html,,,,0
689,689,4214 MEDICAL PARKWAY/43RD,Northwest corner of MEDICAL and 43RD - Nearside,30.312474,-97.742371,,http://www.capmetro.org/gismaps/stops/689.html,,,,0
690,690,4112 MEDICAL PARKWAY/42ND,Southwest corner of MEDICAL and 42ND - Farside,30.310901,-97.742667,,http://www.capmetro.org/gismaps/stops/690.html,,,,0
691,691,MEDICAL PKWY/W. 40TH,Northwest corner of MEDICAL and 40TH - Nearside,30.308566,-97.742745,,http://www.capmetro.org/gismaps/stops/691.html,,,,0
692,692,3810 MEDICAL PARKWAY/39TH,Southwest corner of MEDICAL and 39TH - Mid-Block,30.30629,-97.743842,,http://www.capmetro.org/gismaps/stops/692.html,,,,0
695,695,3120 LAMAR/32ND,Northwest corner of LAMAR and 32ND - Nearside,30.301236,-97.74574,,http://www.capmetro.org/gismaps/stops/695.html,,,,0
710,710,COLORADO/8TH,Northwest corner of COLORADO and 8TH - Nearside,30.270427,-97.7435,,http://www.capmetro.org/gismaps/stops/710.html,,,,0
716,716,704 CESAR CHAVEZ/SAN ANTONIO,Northwest corner of CESAR CHAVEZ and SAN ANTONIO - Mid-Block,30.265741,-97.752406,,http://www.capmetro.org/gismaps/stops/716.html,,,,0
717,717,B R REYNOLDS/LAMAR,Southwest corner of B R REYNOLDS and LAMAR - Nearside,30.267402,-97.756576,,http://www.capmetro.org/gismaps/stops/717.html,,,,0
722,722,1414 LAMAR/CINCO,Northwest corner of LAMAR and CINCO - Nearside,30.252465,-97.764114,,http://www.capmetro.org/gismaps/stops/722.html,,,,0
726,726,2506 LAMAR/LA CASA,Northwest corner of LAMAR and LA CASA - Nearside,30.246312,-97.77873,,http://www.capmetro.org/gismaps/stops/726.html,,,,0
728,728,2806 MANCHACA/LIGHTSEY,Northwest corner of MANCHACA and LIGHTSEY - Nearside,30.243035,-97.781628,,http://www.capmetro.org/gismaps/stops/728.html,,,,1
729,729,3204 MANCHACA/GLEN ALLEN,Southwest corner of MANCHACA and GLEN ALLEN - Farside,30.240345,-97.782242,,http://www.capmetro.org/gismaps/stops/729.html,,,,0
730,730,3624 MANCHACA/LARCHMONT,Southwest corner of MANCHACA and LARCHMONT - Mid-Block,30.237452,-97.783568,,http://www.capmetro.org/gismaps/stops/730.html,,,,0
732,732,3906 MANCHACA/PRATHER,Northwest corner of MANCHACA and PRATHER - Nearside,30.233969,-97.785765,,http://www.capmetro.org/gismaps/stops/732.html,,,,0
733,733,4308 MANCHACA/BEN WHITE,Northwest corner of MANCHACA and BEN WHITE - Nearside,30.230504,-97.788112,,http://www.capmetro.org/gismaps/stops/733.html,,,,0
734,734,4430 MANCHACA/REDD,Northwest corner of MANCHACA and REDD - Nearside,30.228464,-97.78938,,http://www.capmetro.org/gismaps/stops/734.html,,,,0
735,735,4616 MANCHACA/FOREST HILL,Northwest corner of MANCHACA and FOREST HILL - Nearside,30.225991,-97.790916,,http://www.capmetro.org/gismaps/stops/735.html,,,,0
